Timestamp, Consommation
1638921600, 65950
1638922500, 65757
1638923400, 63908
1638924300, 62555
1638925200, 62131
1638926100, 62324
1638927000, 61679
1638927900, 61953
1638928800, 61497
1638929700, 62086
1638930600, 60960
1638931500, 60323
1638932400, 59458
1638933300, 59387
1638934200, 58685
1638935100, 58499
1638936000, 58352
1638936900, 58512
1638937800, 58320
1638938700, 58278
1638939600, 58934
1638940500, 60374
1638941400, 60688
1638942300, 61894
1638943200, 62765
1638944100, 65251
1638945000, 66667
1638945900, 68210
1638946800, 69697
1638947700, 71504
1638948600, 72622
1638949500, 73498
1638950400, 74544
1638951300, 75064
1638952200, 75771
1638953100, 75939
1638954000, 76525
1638954900, 76612
1638955800, 76643
1638956700, 76515
1638957600, 76747
1638958500, 76600
1638959400, 76502
1638960300, 76024
1638961200, 76079
1638962100, 76173
1638963000, 76551
1638963900, 76691
1638964800, 76806
1638965700, 76983
1638966600, 76827
1638967500, 77175
1638968400, 76162
1638969300, 75957
1638970200, 75240
1638971100, 74435
1638972000, 74256
1638972900, 74284
1638973800, 73206
1638974700, 72893
1638975600, 72688
1638976500, 72444
1638977400, 72423
1638978300, 72129
1638979200, 71877
1638980100, 71804
1638981000, 72036
1638981900, 72676
1638982800, 73197
1638983700, 74440
1638984600, 75414
1638985500, 76232
1638986400, 77193
1638987300, 77538
1638988200, 78181
1638989100, 78825
1638990000, 79591
1638990900, 79489
1638991800, 78665
1638992700, 77915
1638993600, 76950
1638994500, 75612
1638995400, 74425
1638996300, 73266
1638997200, 72489
1638998100, 71532
1638999000, 70494
1638999900, 69767
1639000800, 69546
1639001700, 69027
1639002600, 69567
1639003500, 71335
1639004400, 70628
1639005300, 70422
1639006200, 69991
