Périmètre	Nature	Date	Heures	Consommation	Prévision J-1	Prévision J	Fioul	Charbon	Gaz	Nucléaire	Eolien	Solaire	Hydraulique	Pompage	Bioénergies	Ech. physiques	Taux de Co2	Ech. comm. Angleterre	Ech. comm. Espagne	Ech. comm. Italie	Ech. comm. Suisse	Ech. comm. Allemagne-Belgique	Fioul - TAC	Fioul - Cogén.	Fioul - Autres	Gaz - TAC	Gaz - Cogén.	Gaz - CCG	Gaz - Autres	Hydraulique - Fil de l?eau + éclusée	Hydraulique - Lacs	Hydraulique - STEP turbinage	Bioénergies - Déchets	Bioénergies - Biomasse	Bioénergies - Biogaz	Consommation corrigée
France	Données temps réel	22/11/2021	00:00	58372	59200	58500	203	30	7163	42659	5827	0	1973	-1858	847	1528	65	642	-2673	-1564	-2744	6794	0	25	178	0	2330	4834	1	2051	0	5	233	341	275	ND
France	Données temps réel	22/11/2021	00:15	58556	58550	57700	204	30	7396	42595	6084	0	2837	-1854	850	414	65						1	25	178	0	2328	5069	1	2145	281	411	231	341	275	ND
France	Données temps réel	22/11/2021	00:30	56688	57900	56900	204	32	7141	42341	6131	0	2252	-1926	854	-341	64	642	-2673	-1564	-2744	6794	1	25	178	0	2330	4812	1	2142	0	372	236	341	275	ND
France	Données temps réel	22/11/2021	00:45	55569	56950	56150	205	32	6674	42230	6241	0	2060	-2499	850	-224	62						2	25	178	0	2325	4350	1	2167	0	190	235	339	275	ND
France	Données temps réel	22/11/2021	01:00	55190	56000	55400	204	33	6417	42093	6224	0	1982	-2509	848	-102	61	67	-2816	-1383	-2570	6239	1	25	178	0	2332	4085	1	2126	0	178	238	335	275	ND
France	Données temps réel	22/11/2021	01:15	55587	56300	55450	204	32	6779	42541	6256	0	1965	-2463	847	-574	62						1	25	178	0	2331	4449	1	2102	0	212	236	336	275	ND
France	Données temps réel	22/11/2021	01:30	54799	56600	55500	204	32	6609	42302	6279	0	1894	-2489	857	-889	62	67	-2816	-1383	-2570	6246	1	25	178	0	2331	4279	1	2092	0	196	239	345	275	ND
France	Données temps réel	22/11/2021	01:45	55320	56400	55650	203	32	6607	42303	6385	0	1653	-2484	853	-232	62						0	25	178	0	2331	4276	1	2025	0	3	239	347	275	ND
France	Données temps réel	22/11/2021	02:00	54755	56200	55800	205	33	6624	42509	6276	0	1668	-2474	863	-949	62	196	-2913	-1158	-3167	5498	2	25	178	0	2330	4294	1	2031	0	3	236	350	275	ND
France	Données temps réel	22/11/2021	02:15	55180	55550	55150	203	33	7108	42703	6520	0	1641	-2582	857	-1303	65						0	25	178	0	2340	4768	1	2015	0	3	237	350	275	ND
France	Données temps réel	22/11/2021	02:30	54298	54900	54500	204	32	6813	42346	6692	0	1580	-2735	863	-1497	63	196	-2913	-1158	-3167	5497	1	25	178	0	2343	4470	1	2004	0	3	239	350	275	ND
France	Données temps réel	22/11/2021	02:45	53282	54200	53750	204	32	6685	42309	6777	0	1592	-2984	851	-2184	63						1	25	178	0	2341	4345	1	1995	0	3	231	348	275	ND
France	Données temps réel	22/11/2021	03:00	52787	53500	53000	204	33	6421	42084	6902	0	1614	-2993	859	-2337	61	-583	-2913	-2675	-3042	5793	1	25	178	0	2340	4082	1	1995	0	3	235	349	275	ND
France	Données temps réel	22/11/2021	03:15	52636	53150	52600	204	32	6688	42690	7024	0	1650	-3296	862	-3218	62						1	25	178	0	2340	4349	1	2004	0	3	237	350	275	ND
France	Données temps réel	22/11/2021	03:30	52060	52800	52200	204	31	6492	42417	7188	0	1659	-3295	866	-3502	61	-583	-2913	-2675	-3042	5810	1	25	178	0	2343	4149	1	1998	0	3	241	352	275	ND
France	Données temps réel	22/11/2021	03:45	51772	52550	52000	204	33	6176	42426	7330	0	1677	-3292	835	-3617	59						1	25	178	0	2342	3835	1	2006	0	3	211	352	275	ND
France	Données temps réel	22/11/2021	04:00	51618	52300	51800	201	31	6095	42350	7289	0	1663	-3287	845	-3569	58	-287	-2900	-2787	-3200	6362	0	25	177	0	2346	3749	1	1960	0	3	222	351	275	ND
France	Données temps réel	22/11/2021	04:15	51800	52400	51850	203	30	5807	42356	7410	0	1503	-3202	863	-3170	56						0	25	178	0	2345	3462	1	1829	0	3	240	351	275	ND
France	Données temps réel	22/11/2021	04:30	51571	52500	51900	201	31	5358	42537	7481	0	1498	-3191	848	-3192	53	-287	-2900	-2787	-3200	6310	0	25	177	0	2323	3036	1	1813	0	3	216	350	275	ND
France	Données temps réel	22/11/2021	04:45	52196	53100	52550	202	30	5725	42664	7666	0	1492	-3182	868	-3269	55						0	25	178	0	2323	3403	1	1778	0	3	240	353	275	ND
France	Données temps réel	22/11/2021	05:00	52833	53700	53200	201	30	5702	42641	7765	0	1435	-3179	865	-2627	55	1075	-2900	-3352	-2832	7190	0	25	178	0	2323	3379	1	1752	0	3	239	350	275	ND
France	Données temps réel	22/11/2021	05:15	54590	54750	54350	201	31	5551	42608	7904	0	1420	-3069	865	-921	54						0	25	177	0	2321	3230	1	1716	0	3	242	350	275	ND
France	Données temps réel	22/11/2021	05:30	55351	55800	55500	203	30	5785	42771	8038	0	1441	-2896	865	-886	55	1075	-2900	-3352	-2832	7163	0	25	178	0	2324	3461	1	1750	0	3	238	350	275	ND
France	Données temps réel	22/11/2021	05:45	56256	57150	56500	202	31	5855	42782	8141	0	1539	-2433	861	-722	55						0	25	178	0	2328	3528	1	1751	0	3	234	347	275	ND
France	Données temps réel	22/11/2021	06:00	57350	58500	57500	200	31	5966	42596	8279	0	1739	-2275	853	-39	55	1283	626	-3165	-3168	6235	0	25	177	0	2369	3597	1	1758	0	4	236	352	275	ND
France	Données temps réel	22/11/2021	06:15	59889	60400	59750	203	30	6194	42492	8442	0	2455	-2015	852	1236	56						0	25	178	0	2376	3819	1	1854	596	5	231	350	275	ND
France	Données temps réel	22/11/2021	06:30	61575	62300	62000	204	73	7010	42362	8575	0	3230	-2015	853	1283	61	1283	626	-3165	-3168	6020	1	25	178	0	2393	4617	1	1906	1274	50	231	350	275	ND
France	Données temps réel	22/11/2021	06:45	62981	64200	63600	204	143	7141	42609	8632	0	3917	-1598	865	1068	61						1	25	178	0	2400	4741	1	2072	1628	217	236	350	275	ND
France	Données temps réel	22/11/2021	07:00	64769	66100	65200	203	177	7373	42628	8646	0	3605	-1441	860	2718	63	1514	2200	-2674	-2227	5205	0	25	178	0	2442	4931	1	2044	1146	415	236	350	275	ND
France	Données temps réel	22/11/2021	07:15	66355	67650	66450	204	236	7279	42566	9002	0	3925	-1114	865	3392	62						2	25	177	0	2492	4788	1	2136	1454	335	234	353	275	ND
France	Données temps réel	22/11/2021	07:30	67705	69200	67700	204	263	7281	42709	9015	179	4186	-471	853	3486	62	1514	2200	-2674	-2227	5205	2	25	177	0	2493	4789	1	2198	1486	502	227	347	275	ND
France	Données temps réel	22/11/2021	07:45	68357	69800	68600	205	323	7278	42790	9205	193	4403	-474	871	3563	62						2	25	178	0	2488	4791	1	2261	1572	570	234	352	275	ND
France	Données temps réel	22/11/2021	08:00	69069	70400	69500	203	424	7208	42671	9287	192	4677	-475	846	4036	63	1513	2148	-2755	-3089	5901	1	25	177	0	2489	4720	1	2262	1513	902	230	351	275	ND
France	Données temps réel	22/11/2021	08:15	69298	70650	69550	203	533	7310	42826	9455	239	4788	-315	858	3401	64						1	25	177	0	2486	4825	1	2471	1512	805	233	356	275	ND
France	Données temps réel	22/11/2021	08:30	69588	70900	69600	203	609	7277	42770	9352	311	4706	0	857	3503	65	1513	2148	-2755	-3089	5897	1	25	177	0	2490	4787	1	2480	1434	792	234	350	275	ND
France	Données temps réel	22/11/2021	08:45	70221	71100	70200	204	603	7440	42881	9370	406	4802	-26	869	3672	66						2	25	177	0	2489	4952	1	2489	1599	714	237	355	275	ND
France	Données temps réel	22/11/2021	09:00	70584	71300	70800	205	603	7419	42894	9403	506	5297	-47	856	3448	65	1514	2100	-2914	-2832	5120	2	25	178	0	2488	4931	1	2537	1650	1110	225	354	275	ND
France	Données temps réel	22/11/2021	09:15	70512	71400	70800	202	600	7398	42829	9240	797	5820	-53	856	2823	64						0	25	177	0	2492	4906	1	2644	2031	1145	231	355	275	ND
France	Données temps réel	22/11/2021	09:30	70563	71500	70800	203	602	7330	42775	9231	999	5820	-57	854	2806	64	1514	2100	-2914	-2832	5120	1	25	177	0	2487	4844	1	2646	2206	968	228	354	275	ND
France	Données temps réel	22/11/2021	09:45	70591	71450	70450	204	603	7274	42733	9316	1184	5632	-57	855	2847	63						1	25	178	0	2442	4832	1	2569	2163	900	228	355	275	ND
France	Données temps réel	22/11/2021	10:00	70382	71400	70100	202	611	7162	42757	9408	1405	5418	-55	859	2615	63	1385	2100	-2433	-2509	4197	0	25	177	0	2442	4720	1	2571	2100	747	226	359	275	ND
